"filename", "language", "TypeScript", "PHP", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "JSON", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\Jervi\Desktop\payment-with-laravel\.github\workflows\lint.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 10, 46
"c:\Users\Jervi\Desktop\payment-with-laravel\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 12, 51
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 10, 52
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 7, 42
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 14, 9, 70
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 7, 42
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 9, 52
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 7, 31
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Controller.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Settings\PasswordController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Settings\ProfileController.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 9, 14, 64
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Middleware\HandleAppearance.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 19, 7, 57
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 0, 21, 14, 86
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Requests\Settings\ProfileUpdateRequest.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 5, 33
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Models\User.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 17, 7, 49
"c:\Users\Jervi\Desktop\payment-with-laravel\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 8, 5, 25
"c:\Users\Jervi\Desktop\payment-with-laravel\bootstrap\app.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Jervi\Desktop\payment-with-laravel\bootstrap\providers.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Jervi\Desktop\payment-with-laravel\components.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\Jervi\Desktop\payment-with-laravel\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 86
"c:\Users\Jervi\Desktop\payment-with-laravel\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 9174, 0, 0, 0, 1, 9175
"c:\Users\Jervi\Desktop\payment-with-laravel\config\app.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 82, 23, 127
"c:\Users\Jervi\Desktop\payment-with-laravel\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 74, 14, 116
"c:\Users\Jervi\Desktop\payment-with-laravel\config\cache.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 0, 0, 34, 18, 109
"c:\Users\Jervi\Desktop\payment-with-laravel\config\database.php", "PHP", 0, 109, 0, 0, 0, 0, 0, 0, 0, 43, 23, 175
"c:\Users\Jervi\Desktop\payment-with-laravel\config\filesystems.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 32, 13, 81
"c:\Users\Jervi\Desktop\payment-with-laravel\config\inertia.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 23, 12, 56
"c:\Users\Jervi\Desktop\payment-with-laravel\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 0, 33, 21, 133
"c:\Users\Jervi\Desktop\payment-with-laravel\config\mail.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 0, 43, 19, 117
"c:\Users\Jervi\Desktop\payment-with-laravel\config\queue.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 44, 17, 113
"c:\Users\Jervi\Desktop\payment-with-laravel\config\services.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"c:\Users\Jervi\Desktop\payment-with-laravel\config\session.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 160, 35, 218
"c:\Users\Jervi\Desktop\payment-with-laravel\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 14, 6, 45
"c:\Users\Jervi\Desktop\payment-with-laravel\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 6, 50
"c:\Users\Jervi\Desktop\payment-with-laravel\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 5, 36
"c:\Users\Jervi\Desktop\payment-with-laravel\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Users\Jervi\Desktop\payment-with-laravel\database\seeders\DatabaseSeeder.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\Users\Jervi\Desktop\payment-with-laravel\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 2, 45
"c:\Users\Jervi\Desktop\payment-with-laravel\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 7326, 0, 0, 0, 1, 7327
"c:\Users\Jervi\Desktop\payment-with-laravel\package.json", "JSON", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 65
"c:\Users\Jervi\Desktop\payment-with-laravel\phpunit.xml", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\Jervi\Desktop\payment-with-laravel\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Jervi\Desktop\payment-with-laravel\public\index.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 7, 21
"c:\Users\Jervi\Desktop\payment-with-laravel\public\logo.svg", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 130, 0, 0, 0, 0, 8, 22, 160
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\app.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-content.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-header.tsx", "TypeScript JSX", 0, 0, 0, 171, 0, 0, 0, 0, 0, 2, 10, 183
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-logo-icon.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-logo.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-shell.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-sidebar-header.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\appearance-dropdown.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\appearance-tabs.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\delete-user.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 14, 90
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\heading-small.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\heading.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\icon.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\input-error.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-footer.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
