Date : 2025-06-21 22:31:52
Directory : c:\Users\Jervi\Desktop\payment-with-laravel
Total : 140 files,  23239 codes, 932 comments, 1093 blanks, all 25264 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     16,671 |          0 |          4 |     16,675 |
| TypeScript JSX     |         68 |      4,639 |         28 |        490 |      5,157 |
| PHP                |         53 |      1,533 |        800 |        525 |      2,858 |
| PostCSS            |          1 |        130 |          8 |         22 |        160 |
| TypeScript         |          6 |         76 |          2 |         16 |         94 |
| YAML               |          2 |         70 |          5 |         22 |         97 |
| XML                |          3 |         52 |          0 |          3 |         55 |
| JavaScript         |          1 |         42 |          1 |          2 |         45 |
| JSON with Comments |          1 |         26 |         88 |          9 |        123 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        140 |     23,239 |        932 |      1,093 |     25,264 |
| . (Files)                                                                                                         |          9 |     16,796 |         89 |         18 |     16,903 |
| .github                                                                                                           |          2 |         70 |          5 |         22 |         97 |
| .github\workflows                                                                                                 |          2 |         70 |          5 |         22 |         97 |
| app                                                                                                               |         17 |        452 |        146 |        126 |        724 |
| app\Http                                                                                                          |         15 |        415 |        121 |        114 |        650 |
| app\Http\Controllers                                                                                              |         11 |        296 |         71 |         83 |        450 |
| app\Http\Controllers (Files)                                                                                      |          1 |          5 |          1 |          3 |          9 |
| app\Http\Controllers\Auth                                                                                         |          8 |        223 |         55 |         59 |        337 |
| app\Http\Controllers\Settings                                                                                     |          2 |         68 |         15 |         21 |        104 |
| app\Http\Middleware                                                                                               |          2 |         45 |         24 |         12 |         81 |
| app\Http\Requests                                                                                                 |          2 |         74 |         26 |         19 |        119 |
| app\Http\Requests\Auth                                                                                            |          1 |         51 |         21 |         14 |         86 |
| app\Http\Requests\Settings                                                                                        |          1 |         23 |          5 |          5 |         33 |
| app\Models                                                                                                        |          1 |         25 |         17 |          7 |         49 |
| app\Providers                                                                                                     |          1 |         12 |          8 |          5 |         25 |
| bootstrap                                                                                                         |          2 |         27 |          1 |          6 |         34 |
| config                                                                                                            |         11 |        502 |        579 |        203 |      1,284 |
| database                                                                                                          |          5 |        148 |         37 |         28 |        213 |
| database\factories                                                                                                |          1 |         25 |         14 |          6 |         45 |
| database\migrations                                                                                               |          3 |        109 |         18 |         17 |        144 |
| database\seeders                                                                                                  |          1 |         14 |          5 |          5 |         24 |
| public                                                                                                            |          3 |         29 |          4 |          9 |         42 |
| resources                                                                                                         |         75 |      4,862 |         38 |        536 |      5,436 |
| resources\css                                                                                                     |          1 |        130 |          8 |         22 |        160 |
| resources\js                                                                                                      |         73 |      4,691 |         30 |        504 |      5,225 |
| resources\js (Files)                                                                                              |          2 |         40 |          6 |         10 |         56 |
| resources\js\components                                                                                           |         44 |      2,816 |         14 |        299 |      3,129 |
| resources\js\components (Files)                                                                                   |         21 |        681 |          2 |         80 |        763 |
| resources\js\components\ui                                                                                        |         23 |      2,135 |         12 |        219 |      2,366 |
| resources\js\hooks                                                                                                |          4 |         81 |          4 |         37 |        122 |
| resources\js\layouts                                                                                              |          8 |        217 |          1 |         28 |        246 |
| resources\js\layouts (Files)                                                                                      |          2 |         20 |          0 |          5 |         25 |
| resources\js\layouts\app                                                                                          |          2 |         30 |          0 |          4 |         34 |
| resources\js\layouts\auth                                                                                         |          3 |        107 |          0 |         11 |        118 |
